"SchoolYear","OrganizationLevel","County","DistrictCode","DistrictName","StudentGroupType","StudentGroup","Subject","MedianSGP","StudentCount","NumberLowGrowth","NumberTypicalGrowth","NumberHighGrowth","PercentLowGrowth","PercentTypicalGrowth","PercentHighGrowth","PhysicalAddress","Median_Household_Income"
"2017","District","Jefferson",16046,"Brinnon School District","AllStudents","All Students","Math",48,29,7,13,9,0.241,0.448,0.31,"98320",50711
"2016","District","Jefferson",16046,"Brinnon School District","AllStudents","All Students","English Language Arts",50.5,24,5,10,9,0.208,0.417,0.375,"98320",50711
"2016","District","Jefferson",16046,"Brinnon School District","AllStudents","All Students","Math",47,24,8,11,5,0.333,0.458,0.208,"98320",50711
"2015","District","Jefferson",16046,"Brinnon School District","AllStudents","All Students","English Language Arts",70,18,4,4,10,0.222,0.222,0.556,"98320",50711
"2015","District","Jefferson",16046,"Brinnon School District","AllStudents","All Students","Math",69,18,2,6,10,0.111,0.333,0.556,"98320",50711
"2019","District","Skagit",29100,"Burlington-Edison School District","AllStudents","All Students","English Language Arts",43,1319,530,438,351,0.402,0.332,0.266,"98233",65336
"2019","District","Skagit",29100,"Burlington-Edison School District","AllStudents","All Students","Math",45,1320,471,456,393,0.357,0.345,0.298,"98233",65336
"2018","District","Skagit",29100,"Burlington-Edison School District","AllStudents","All Students","English Language Arts",40,1366,571,447,348,0.418,0.327,0.255,"98233",65336
"2018","District","Skagit",29100,"Burlington-Edison School District","AllStudents","All Students","Math",43,1363,538,443,382,0.395,0.325,0.28,"98233",65336
"2017","District","Skagit",29100,"Burlington-Edison School District","AllStudents","All Students","English Language Arts",44,1361,518,470,373,0.381,0.345,0.274,"98233",65336
"2017","District","Skagit",29100,"Burlington-Edison School District","AllStudents","All Students","Math",40,1360,565,447,348,0.415,0.329,0.256,"98233",65336
"2016","District","Skagit",29100,"Burlington-Edison School District","AllStudents","All Students","English Language Arts",48,1303,434,439,430,0.333,0.337,0.33,"98233",65336
"2016","District","Skagit",29100,"Burlington-Edison School District","AllStudents","All Students","Math",49,1308,427,473,408,0.326,0.362,0.312,"98233",65336
"2015","District","Skagit",29100,"Burlington-Edison School District","AllStudents","All Students","English Language Arts",43,1013,392,320,301,0.387,0.316,0.297,"98233",65336
"2015","District","Skagit",29100,"Burlington-Edison School District","AllStudents","All Students","Math",42,1013,376,376,261,0.371,0.371,0.258,"98233",65336
"2019","District","Clark",6117,"Camas School District","AllStudents","All Students","English Language Arts",52,2591,805,880,906,0.311,0.34,0.35,"98607",109621
"2019","District","Clark",6117,"Camas School District","AllStudents","All Students","Math",56,2592,707,871,1014,0.273,0.336,0.391,"98607",109621
"2018","District","Clark",6117,"Camas School District","AllStudents","All Students","English Language Arts",54,2510,705,885,920,0.281,0.353,0.367,"98607",109621
"2018","District","Clark",6117,"Camas School District","AllStudents","All Students","Math",55,2509,704,845,960,0.281,0.337,0.383,"98607",109621
"2017","District","Clark",6117,"Camas School District","AllStudents","All Students","English Language Arts",57,2494,657,870,967,0.263,0.349,0.388,"98607",109621
"2017","District","Clark",6117,"Camas School District","AllStudents","All Students","Math",57,2491,630,841,1020,0.253,0.338,0.409,"98607",109621
"2016","District","Clark",6117,"Camas School District","AllStudents","All Students","English Language Arts",57,2487,637,866,984,0.256,0.348,0.396,"98607",109621
"2016","District","Clark",6117,"Camas School District","AllStudents","All Students","Math",60,2487,576,848,1063,0.232,0.341,0.427,"98607",109621
"2015","District","Clark",6117,"Camas School District","AllStudents","All Students","English Language Arts",62,942,206,314,422,0.219,0.333,0.448,"98607",109621
"2015","District","Clark",6117,"Camas School District","AllStudents","All Students","Math",56,937,238,320,379,0.254,0.342,0.404,"98607",109621
"2019","District","Clallam",5401,"Cape Flattery School District","AllStudents","All Students","English Language Arts",42,167,68,58,41,0.407,0.347,0.246,"98381",80952
"2019","District","Clallam",5401,"Cape Flattery School District","AllStudents","All Students","Math",37,168,76,45,47,0.452,0.268,0.28,"98381",80952
"2018","District","Clallam",5401,"Cape Flattery School District","AllStudents","All Students","English Language Arts",40,152,66,58,28,0.434,0.382,0.184,"98381",80952
"2018","District","Clallam",5401,"Cape Flattery School District","AllStudents","All Students","Math",37,153,65,53,35,0.425,0.346,0.229,"98381",80952
"2017","District","Clallam",5401,"Cape Flattery School District","AllStudents","All Students","English Language Arts",51,171,62,51,58,0.363,0.298,0.339,"98381",80952
"2017","District","Clallam",5401,"Cape Flattery School District","AllStudents","All Students","Math",49,171,62,57,52,0.363,0.333,0.304,"98381",80952
"2016","District","Clallam",5401,"Cape Flattery School District","AllStudents","All Students","English Language Arts",42,149,64,43,42,0.43,0.289,0.282,"98381",80952
"2016","District","Clallam",5401,"Cape Flattery School District","AllStudents","All Students","Math",48,149,53,52,44,0.356,0.349,0.295,"98381",80952
"2015","District","Clallam",5401,"Cape Flattery School District","AllStudents","All Students","English Language Arts",36.5,146,67,54,25,0.459,0.37,0.171,"98381",80952
"2015","District","Clallam",5401,"Cape Flattery School District","AllStudents","All Students","Math",51,145,52,37,56,0.359,0.255,0.386,"98381",80952
"2019","District","Pierce",27019,"Carbonado School District","AllStudents","All Students","English Language Arts",55,92,29,28,35,0.315,0.304,0.38,"98323",84038
"2019","District","Pierce",27019,"Carbonado School District","AllStudents","All Students","Math",69,91,9,32,50,0.099,0.352,0.549,"98323",84038
"2018","District","Pierce",27019,"Carbonado School District","AllStudents","All Students","English Language Arts",64.5,100,27,25,48,0.27,0.25,0.48,"98323",84038
"2018","District","Pierce",27019,"Carbonado School District","AllStudents","All Students","Math",61,100,16,43,41,0.16,0.43,0.41,"98323",84038
"2017","District","Pierce",27019,"Carbonado School District","AllStudents","All Students","English Language Arts",52,99,24,41,34,0.242,0.414,0.343,"98323",84038
"2017","District","Pierce",27019,"Carbonado School District","AllStudents","All Students","Math",65,99,25,25,49,0.253,0.253,0.495,"98323",84038
"2016","District","Pierce",27019,"Carbonado School District","AllStudents","All Students","English Language Arts",51,105,35,45,25,0.333,0.429,0.238,"98323",84038
"2016","District","Pierce",27019,"Carbonado School District","AllStudents","All Students","Math",57.5,106,30,35,41,0.283,0.33,0.387,"98323",84038
"2019","District","Chelan",4228,"Cascade School District","AllStudents","All Students","English Language Arts",67.5,474,98,132,244,0.207,0.278,0.515,"98826",61470
"2019","District","Chelan",4228,"Cascade School District","AllStudents","All Students","Math",65,471,85,159,227,0.18,0.338,0.482,"98826",61470
"2018","District","Chelan",4228,"Cascade School District","AllStudents","All Students","English Language Arts",61,273,59,89,125,0.216,0.326,0.458,"98826",61470
"2018","District","Chelan",4228,"Cascade School District","AllStudents","All Students","Math",67.5,272,50,81,141,0.184,0.298,0.518,"98826",61470
"2017","District","Chelan",4228,"Cascade School District","AllStudents","All Students","English Language Arts",64,455,107,133,215,0.235,0.292,0.473,"98826",61470
"2017","District","Chelan",4228,"Cascade School District","AllStudents","All Students","Math",65.5,454,85,146,223,0.187,0.322,0.491,"98826",61470
"2016","District","Chelan",4228,"Cascade School District","AllStudents","All Students","English Language Arts",56,439,116,154,169,0.264,0.351,0.385,"98826",61470
"2016","District","Chelan",4228,"Cascade School District","AllStudents","All Students","Math",63,439,98,137,204,0.223,0.312,0.465,"98826",61470
"2015","District","Chelan",4228,"Cascade School District","AllStudents","All Students","English Language Arts",54,424,126,147,151,0.297,0.347,0.356,"98826",61470
"2015","District","Chelan",4228,"Cascade School District","AllStudents","All Students","Math",67,427,64,148,215,0.15,0.347,0.504,"98826",61470
"2019","District","Chelan",4222,"CASHMERE SCHOOL DISTRICT","AllStudents","All Students","English Language Arts",48,603,208,206,189,0.345,0.342,0.313,"98815",61672
"2019","District","Chelan",4222,"CASHMERE SCHOOL DISTRICT","AllStudents","All Students","Math",56,601,177,181,243,0.295,0.301,0.404,"98815",61672
"2018","District","Chelan",4222,"CASHMERE SCHOOL DISTRICT","AllStudents","All Students","English Language Arts",55,584,161,203,220,0.276,0.348,0.377,"98815",61672
"2018","District","Chelan",4222,"CASHMERE SCHOOL DISTRICT","AllStudents","All Students","Math",55,585,158,211,216,0.27,0.361,0.369,"98815",61672
"2017","District","Chelan",4222,"CASHMERE SCHOOL DISTRICT","AllStudents","All Students","English Language Arts",56,570,163,185,222,0.286,0.325,0.389,"98815",61672
"2017","District","Chelan",4222,"CASHMERE SCHOOL DISTRICT","AllStudents","All Students","Math",58,571,138,199,234,0.242,0.349,0.41,"98815",61672
"2016","District","Chelan",4222,"CASHMERE SCHOOL DISTRICT","AllStudents","All Students","English Language Arts",53.5,554,161,193,200,0.291,0.348,0.361,"98815",61672
"2016","District","Chelan",4222,"CASHMERE SCHOOL DISTRICT","AllStudents","All Students","Math",61,553,136,168,249,0.246,0.304,0.45,"98815",61672
"2015","District","Chelan",4222,"CASHMERE SCHOOL DISTRICT","AllStudents","All Students","English Language Arts",57,349,101,119,129,0.289,0.341,0.37,"98815",61672
"2015","District","Chelan",4222,"CASHMERE SCHOOL DISTRICT","AllStudents","All Students","Math",58,347,81,122,144,0.233,0.352,0.415,"98815",61672
"2019","District","Cowlitz",8401,"Castle Rock School District","AllStudents","All Students","English Language Arts",53,511,145,191,175,0.284,0.374,0.342,"98611",64829
"2019","District","Cowlitz",8401,"Castle Rock School District","AllStudents","All Students","Math",50,509,169,186,154,0.332,0.365,0.303,"98611",64829
"2018","District","Cowlitz",8401,"Castle Rock School District","AllStudents","All Students","English Language Arts",54,486,146,158,182,0.3,0.325,0.374,"98611",64829
"2018","District","Cowlitz",8401,"Castle Rock School District","AllStudents","All Students","Math",51,487,153,174,160,0.314,0.357,0.329,"98611",64829
"2017","District","Cowlitz",8401,"Castle Rock School District","AllStudents","All Students","English Language Arts",51,426,139,143,144,0.326,0.336,0.338,"98611",64829
"2017","District","Cowlitz",8401,"Castle Rock School District","AllStudents","All Students","Math",51.5,426,142,142,142,0.333,0.333,0.333,"98611",64829
"2016","District","Cowlitz",8401,"Castle Rock School District","AllStudents","All Students","English Language Arts",48,422,138,146,138,0.327,0.346,0.327,"98611",64829
"2016","District","Cowlitz",8401,"Castle Rock School District","AllStudents","All Students","Math",47.5,422,146,137,139,0.346,0.325,0.329,"98611",64829
"2015","District","Cowlitz",8401,"Castle Rock School District","AllStudents","All Students","English Language Arts",52,403,115,149,139,0.285,0.37,0.345,"98611",64829
"2015","District","Cowlitz",8401,"Castle Rock School District","AllStudents","All Students","Math",56,403,111,130,162,0.275,0.323,0.402,"98611",64829
"2019","District","Klickitat",20215,"Centerville School District","AllStudents","All Students","English Language Arts",48,42,15,14,13,0.357,0.333,0.31,"98613",68500
"2019","District","Klickitat",20215,"Centerville School District","AllStudents","All Students","Math",66.5,42,1,20,21,0.024,0.476,0.5,"98613",68500
"2018","District","Klickitat",20215,"Centerville School District","AllStudents","All Students","English Language Arts",53,47,15,21,11,0.319,0.447,0.234,"98613",68500
"2018","District","Klickitat",20215,"Centerville School District","AllStudents","All Students","Math",52,47,11,19,17,0.234,0.404,0.362,"98613",68500
"2017","District","Klickitat",20215,"Centerville School District","AllStudents","All Students","English Language Arts",52.5,42,10,16,16,0.238,0.381,0.381,"98613",68500
"2017","District","Klickitat",20215,"Centerville School District","AllStudents","All Students","Math",50,42,11,15,16,0.262,0.357,0.381,"98613",68500
"2016","District","Klickitat",20215,"Centerville School District","AllStudents","All Students","English Language Arts",50.5,40,13,14,13,0.325,0.35,0.325,"98613",68500
"2016","District","Klickitat",20215,"Centerville School District","AllStudents","All Students","Math",66,41,11,10,20,0.268,0.244,0.488,"98613",68500
"2015","District","Klickitat",20215,"Centerville School District","AllStudents","All Students","English Language Arts",43,33,10,12,11,0.303,0.364,0.333,"98613",68500
"2015","District","Klickitat",20215,"Centerville School District","AllStudents","All Students","Math",60,33,9,11,13,0.273,0.333,0.394,"98613",68500
"2019","District","Kitsap",18401,"Central Kitsap School District","AllStudents","All Students","English Language Arts",46,3900,1397,1345,1158,0.358,0.345,0.297,"98383",88893
"2019","District","Kitsap",18401,"Central Kitsap School District","AllStudents","All Students","Math",49,3887,1270,1407,1210,0.327,0.362,0.311,"98383",88893
