"SchoolYear","OrganizationLevel","County","DistrictCode","DistrictName","StudentGroupType","StudentGroup","Subject","MedianSGP","StudentCount","NumberLowGrowth","NumberTypicalGrowth","NumberHighGrowth","PercentLowGrowth","PercentTypicalGrowth","PercentHighGrowth","PhysicalAddress","Median_Household_Income"
"2018","District","Pacific",25118,"South Bend School District","AllStudents","All Students","Math",43,215,87,60,68,0.405,0.279,0.316,"98586",45446
"2017","District","Pacific",25118,"South Bend School District","AllStudents","All Students","English Language Arts",52.5,218,65,84,69,0.298,0.385,0.317,"98586",45446
"2017","District","Pacific",25118,"South Bend School District","AllStudents","All Students","Math",45,217,82,66,69,0.378,0.304,0.318,"98586",45446
"2016","District","Pacific",25118,"South Bend School District","AllStudents","All Students","English Language Arts",50,212,70,85,57,0.33,0.401,0.269,"98586",45446
"2016","District","Pacific",25118,"South Bend School District","AllStudents","All Students","Math",52,211,64,76,71,0.303,0.36,0.336,"98586",45446
"2015","District","Pacific",25118,"South Bend School District","AllStudents","All Students","English Language Arts",50.5,202,60,76,66,0.297,0.376,0.327,"98586",45446
"2015","District","Pacific",25118,"South Bend School District","AllStudents","All Students","Math",54,201,45,71,85,0.224,0.353,0.423,"98586",45446
"2019","District","Kitsap",18402,"South Kitsap School District","AllStudents","All Students","English Language Arts",49,3447,1120,1214,1113,0.325,0.352,0.323,"98366",70330
"2019","District","Kitsap",18402,"South Kitsap School District","AllStudents","All Students","Math",49,3437,1117,1189,1131,0.325,0.346,0.329,"98366",70330
"2018","District","Kitsap",18402,"South Kitsap School District","AllStudents","All Students","English Language Arts",43,3379,1301,1186,892,0.385,0.351,0.264,"98366",70330
"2018","District","Kitsap",18402,"South Kitsap School District","AllStudents","All Students","Math",40,3374,1380,1186,808,0.409,0.352,0.239,"98366",70330
"2017","District","Kitsap",18402,"South Kitsap School District","AllStudents","All Students","English Language Arts",44.5,3344,1269,1102,973,0.379,0.33,0.291,"98366",70330
"2017","District","Kitsap",18402,"South Kitsap School District","AllStudents","All Students","Math",41,3338,1381,1123,834,0.414,0.336,0.25,"98366",70330
"2016","District","Kitsap",18402,"South Kitsap School District","AllStudents","All Students","English Language Arts",50,3287,1068,1146,1073,0.325,0.349,0.326,"98366",70330
"2016","District","Kitsap",18402,"South Kitsap School District","AllStudents","All Students","Math",43,3274,1277,1074,923,0.39,0.328,0.282,"98366",70330
"2015","District","Kitsap",18402,"South Kitsap School District","AllStudents","All Students","English Language Arts",48,3261,1137,1126,998,0.349,0.345,0.306,"98366",70330
"2015","District","Kitsap",18402,"South Kitsap School District","AllStudents","All Students","Math",44,3262,1254,1077,931,0.384,0.33,0.285,"98366",70330
"2019","District","Island",15206,"South Whidbey School District","AllStudents","All Students","English Language Arts",54,460,129,164,167,0.28,0.357,0.363,"98260",86027
"2019","District","Island",15206,"South Whidbey School District","AllStudents","All Students","Math",54,461,118,166,177,0.256,0.36,0.384,"98260",86027
"2018","District","Island",15206,"South Whidbey School District","AllStudents","All Students","English Language Arts",47,471,172,162,137,0.365,0.344,0.291,"98260",86027
"2018","District","Island",15206,"South Whidbey School District","AllStudents","All Students","Math",50,470,145,168,157,0.309,0.357,0.334,"98260",86027
"2017","District","Island",15206,"South Whidbey School District","AllStudents","All Students","English Language Arts",47,467,170,157,140,0.364,0.336,0.3,"98260",86027
"2017","District","Island",15206,"South Whidbey School District","AllStudents","All Students","Math",42,466,188,166,112,0.403,0.356,0.24,"98260",86027
"2016","District","Island",15206,"South Whidbey School District","AllStudents","All Students","English Language Arts",50.5,312,101,113,98,0.324,0.362,0.314,"98260",86027
"2016","District","Island",15206,"South Whidbey School District","AllStudents","All Students","Math",46.5,318,118,112,88,0.371,0.352,0.277,"98260",86027
"2019","District","Mason",23042,"Southside School District","AllStudents","All Students","English Language Arts",33,101,50,28,23,0.495,0.277,0.228,"98584",60388
"2019","District","Mason",23042,"Southside School District","AllStudents","All Students","Math",39,101,45,26,30,0.446,0.257,0.297,"98584",60388
"2018","District","Mason",23042,"Southside School District","AllStudents","All Students","English Language Arts",28,95,52,24,19,0.547,0.253,0.2,"98584",60388
"2018","District","Mason",23042,"Southside School District","AllStudents","All Students","Math",41,96,36,29,31,0.375,0.302,0.323,"98584",60388
"2017","District","Mason",23042,"Southside School District","AllStudents","All Students","English Language Arts",49,93,30,38,25,0.323,0.409,0.269,"98584",60388
"2017","District","Mason",23042,"Southside School District","AllStudents","All Students","Math",60,93,23,29,41,0.247,0.312,0.441,"98584",60388
"2016","District","Mason",23042,"Southside School District","AllStudents","All Students","English Language Arts",41,87,27,40,20,0.31,0.46,0.23,"98584",60388
"2016","District","Mason",23042,"Southside School District","AllStudents","All Students","Math",63,86,25,21,40,0.291,0.244,0.465,"98584",60388
"2019","District","Spokane",32081,"Spokane School District","AllStudents","All Students","English Language Arts",51,10295,3195,3501,3599,0.31,0.34,0.35,"99201",27398
"2019","District","Spokane",32081,"Spokane School District","AllStudents","All Students","Math",51,10236,3318,3402,3516,0.324,0.332,0.343,"99201",27398
"2018","District","Spokane",32081,"Spokane School District","AllStudents","All Students","English Language Arts",51,10111,3216,3328,3567,0.318,0.329,0.353,"99201",27398
"2018","District","Spokane",32081,"Spokane School District","AllStudents","All Students","Math",47,10095,3513,3411,3171,0.348,0.338,0.314,"99201",27398
"2017","District","Spokane",32081,"Spokane School District","AllStudents","All Students","English Language Arts",49,9990,3336,3362,3292,0.334,0.337,0.33,"99201",27398
"2017","District","Spokane",32081,"Spokane School District","AllStudents","All Students","Math",48,9951,3442,3387,3122,0.346,0.34,0.314,"99201",27398
"2016","District","Spokane",32081,"Spokane School District","AllStudents","All Students","English Language Arts",48,9679,3400,3192,3087,0.351,0.33,0.319,"99201",27398
"2016","District","Spokane",32081,"Spokane School District","AllStudents","All Students","Math",48,9658,3309,3192,3157,0.343,0.331,0.327,"99201",27398
"2015","District","Spokane",32081,"Spokane School District","AllStudents","All Students","English Language Arts",41,1888,790,552,546,0.418,0.292,0.289,"99201",27398
